Time(s),SteerAngle(rad),YawRate(rad/s),Velocity(m/s)
0,0,-3.18E-07,0
1,0.008724341,0.00024715,1.0097057
2,0.047193493,0.002508675,1.8879689
3,-0.001787589,-8.60E-05,2.8757956
4,-0.030106309,-0.00314627,3.8630727
5,-0.048166296,-0.006290788,4.8497103
6,-0.068107078,-0.010551336,5.8367633
7,-0.096328042,-0.017152524,6.8242234
8,-0.13482246,-0.026968067,7.8034489
9,-0.18069475,-0.0399584,8.795449
10,-0.23596527,-0.056884949,9.7892247
11,-0.2942229,-0.076516009,10.784878
12,-0.34434326,-0.095728612,11.782874
13,-0.38115713,-0.11215322,12.782941
14,-0.41163749,-0.12650086,13.760361
15,-0.43619652,-0.13985608,14.770594
16,-0.45322728,-0.15085509,15.734735
17,-0.4440981,-0.15272114,16.640814
18,-0.41206427,-0.14555968,17.476723
19,-0.36152009,-0.13085303,18.247625
20,-0.29588219,-0.10954306,18.959203
21,-0.22823393,-0.085558384,19.616732
22,-0.14180407,-0.062357018,17.438403
23,-0.26299629,-0.079703279,14.035639
24,-0.65766809,-0.20394631,12.832684
25,0.29820094,0.073394608,13.191022
26,0.25724592,0.089424264,14.415997
27,-0.02619742,-0.006123233,16.704785
28,-0.058901305,-0.020575395,19.412643
29,-0.039541797,-0.01484582,22.051301
30,-0.002307679,-0.001693471,24.826421
31,0.042222878,0.015163614,26.722946
32,0.080373479,0.03030077,27.534916
33,0.099888265,0.039099197,27.745302
34,0.10006055,0.039183313,27.786847
35,0.079394007,0.031896239,27.785431
36,0.047795107,0.019608205,27.779374
37,0.011906381,0.00546598,27.778955
38,-0.024765927,-0.009056199,27.783125
39,-0.062158776,-0.023838645,27.789085
40,-0.10529478,-0.0408603,27.79013
41,-0.1516126,-0.061760756,27.317462
42,-0.2011017,-0.082470159,26.198459
43,-0.25328751,-0.10326801,24.832607
44,-0.31116301,-0.12451651,23.759261
45,-0.37109745,-0.14462436,23.007888
46,-0.41887575,-0.16218176,22.78913
47,-0.4081532,-0.15839553,22.854669
48,-0.3634581,-0.14135206,23.190974
49,-0.31200509,-0.12143478,23.799976
50,-0.26520275,-0.10315074,24.67115
51,-0.23085731,-0.089430547,25.775085
52,-0.21169462,-0.085727876,26.543224
53,-0.21315853,-0.088461563,26.168199
54,-0.22741989,-0.097075199,25.01303
55,-0.25677525,-0.10698374,23.720896
56,-0.28984084,-0.11879092,22.615063
57,-0.32277578,-0.12992501,21.602671
58,-0.35716203,-0.14077222,20.67862
59,-0.40218488,-0.15469017,19.884838
60,-0.47672119,-0.17979572,19.403182
61,-0.48492534,-0.1829547,19.189002
62,-0.4070762,-0.15442902,19.586434
63,-0.29808877,-0.1137082,20.531537
64,-0.19269986,-0.07441867,21.961905
